key,en
UI_OFF,Off
UI_ON,On
UI_BACK,Back
UI_RESET,Reset
UI_NEXT,Next
UI_SETTINGS_DISPLAY_MONITOR_INDEX,Display
UI_SETTINGS_DISPLAY_WINDOW_RESOLUTION,Display Resolution
UI_SETTINGS_DISPLAY_WINDOW_MODE,Window Mode
UI_SETTINGS_DISPLAY_MAXMIMUM_FRAMERATE,Maximum Framerate
UI_SETTINGS_DISPLAY_VSYNC_MODE,V-Sync Mode
UI_SETTINGS_DISPLAY_ANTI_ALIASING_MODE,Anti Aliasing Mode
UI_SETTINGS_DISPLAY_BRIGHTNESS,Brightness
UI_SETTINGS_AUDIO_MASTER_VOLUME,Master Volume
UI_SETTINGS_AUDIO_MUSIC_VOLUME,Music Volume
UI_SETTINGS_AUDIO_SOUND_EFFECTS_VOLUME,Sound Effects Volume
UI_SETTINGS_AUDIO_MUSIC_ON,Music On
UI_SETTINGS_AUDIO_SOUND_EFFECTS_ON,Sound Effects On
UI_SETTINGS_AUDIO_DRIVER_API,Audio Driver API
UI_SETTINGS_AUDIO_OUTPUT_DEVICE,Output Device
UI_SETTINGS_AUDIO_SPEAKER_MODE,Speaker Mode
UI_SETTINGS_AUDIO_MAX_CHANNELS,Max Channels
UI_NEWGAME,New Game
UI_LOADGAME,Load Game
UI_SETTINGSMENU,Settings
UI_QUITGAME,Quit Game
UI_EXTRASMENU,Extras
UI_LOADGAME_LOADSLOT,Load Game
UI_LOADGAME_DELETESLOT,Delete Slot
UI_SETTINGS_SAVE,Save
UI_NEWGAME_CUSTOM_GAMEPLAY_OPTIONS,Custom Gameplay Options
UI_NEWGAME_STANDARD_MODE,I am a Wanderer
UI_NEWGAME_HARD_MODE,I am The Blackdeath
UI_NEWGAME_CUSTOM_MODE,Custom Difficulty
UI_PAUSE_RESUME_GAME,Resume Game
UI_PAUSE_EXIT_WORLD,Quit To Main Menu
UI_EXTRAS_MULTIPLAYER,Multiplayer
UI_MULTIPLAYER_LOBBY_BROWSER,Lobby Browser
UI_MULTIPLAYER_SERVER_RANGE_LAN,Local Area Network
UI_MULTIPLAYER_SERVER_RANGE_FRIENDS_ONLY,Friends Only
UI_MULTIPLAYER_SERVER_RANGE_REGION,Region
UI_MULTIPLAYER_SERVER_RANGE_CONTINENTAL,Continental
UI_MULTIPLAYER_SERVER_RANGE_NOLIMIT,Worldwide
UI_MULTIPLAYER_AUTOMATCHMAKE,Auto Matchmake
UI_MULTIPLAYER_CREATE_LOBBY,Host Game
