scene,role,notes
GalakasMidCity_BT_GoldenGate_MerchantExchange_W10D24_CSG.tscn,specialized merchant/artisan building,uses CaravanBrokerHallLower lower module and MerchantSteppedGable roof
GalakasMidCity_BT_GoldenGate_Blacksmith_ForgeBay_W08D16_CSG.tscn,specialized merchant/artisan building,uses ForgeOpenBayLower lower module and ForgeVentGable roof
GalakasMidCity_BT_GateMarket_TailorClothShop_W05D16_CSG.tscn,specialized merchant/artisan building,uses TailorDisplayLower lower module and DormerArcadeLong roof
GalakasMidCity_BT_Artisan_DyersWorkshop_W06D20_CSG.tscn,specialized merchant/artisan building,uses DyersWorkshopLower lower module and SawtoothWorkshop roof
GalakasMidCity_BT_Merchant_CountingHouse_OpenFront_W08D20_CSG.tscn,specialized merchant/artisan building,uses GrandMerchantOpenFrontLower lower module and OffsetCrossMerchant roof
GalakasMidCity_BT_Goldsmith_SecureCorner_W06D12_CSG.tscn,specialized merchant/artisan building,uses GoldsmithSecureLower lower module and MerchantSteppedGable roof
GalakasMidCity_BT_Apothecary_MarketFront_W06D16_CSG.tscn,specialized merchant/artisan building,uses ApothecaryOpenLower lower module and ClerestoryMarket roof
GalakasMidCity_BT_Cooper_WorkshopAndLoft_W08D16_CSG.tscn,specialized merchant/artisan building,uses CooperWorkshopLower lower module and AsymmetricGable roof
GalakasMidCity_BT_Printer_ShopAndLoft_W07D18_CSG.tscn,specialized merchant/artisan building,uses PrinterShopLower lower module and DormerArcadeLong roof
GalakasMidCity_BT_Glassblower_Workshop_W08D20_CSG.tscn,specialized merchant/artisan building,uses GlassblowerWorkshopLower lower module and ForgeVentGable roof
GalakasMidCity_BT_SmithRow_StreetForge_W10D16_CSG.tscn,specialized merchant/artisan building,uses SmithRowOpenBayLower lower module and SawtoothWorkshop roof
GalakasMidCity_BT_GateVendorHall_Broker_W10D24_CSG.tscn,specialized merchant/artisan building,uses CaravanBrokerHallLower lower module and DoubleRidgeMarket roof
GalakasMidCity_BT_Toolmaker_ArcadeWorkbay_W06D16_CSG.tscn,specialized merchant/artisan building,uses ApothecaryOpenLower lower module and AsymmetricGable roof
GalakasMidCity_BT_RopeSeller_LongShop_W06D20_CSG.tscn,specialized merchant/artisan building,uses RopeSellerWorkshopLower lower module and SawtoothWorkshop roof
GalakasMidCity_BT_Bazaar_StableTack_W08D20_CSG.tscn,specialized merchant/artisan building,uses StableTackOpenLower lower module and ClerestoryMarket roof
GalakasMidCity_BT_ClothHall_Sawtooth_W10D24_CSG.tscn,specialized merchant/artisan building,uses ClothHallOpenLower lower module and DoubleRidgeMarket roof
