scene,type,use_case
GalakasMidCity_STALL_ProduceCrateStall_CSG.tscn,ProduceCrateStall,open produce crates and low counter
GalakasMidCity_STALL_FruitBasketStall_CSG.tscn,FruitBasketStall,fruit baskets under a light awning
GalakasMidCity_STALL_GrainSackStall_CSG.tscn,GrainSackStall,grain sacks and stacked measures
GalakasMidCity_STALL_BreadTableStall_CSG.tscn,BreadTableStall,bread table with rear shelf
GalakasMidCity_STALL_MeatButcherStall_CSG.tscn,MeatButcherStall,butcher block and hanging rail
GalakasMidCity_STALL_SaltFishStall_CSG.tscn,SaltFishStall,salted fish slab table and casks
GalakasMidCity_STALL_SpiceTrayStall_CSG.tscn,SpiceTrayStall,tiered spice trays
GalakasMidCity_STALL_HerbMedicinalStall_CSG.tscn,HerbMedicinalStall,herb bundles and small shelves
GalakasMidCity_STALL_ClothRollStall_CSG.tscn,ClothRollStall,cloth rolls and draped display table
GalakasMidCity_STALL_RugCanopyStall_CSG.tscn,RugCanopyStall,wide rug canopy and folded rugs
GalakasMidCity_STALL_TailorSampleStall_CSG.tscn,TailorSampleStall,tailor samples and hanging frame
GalakasMidCity_STALL_LeatherGoodsStall_CSG.tscn,LeatherGoodsStall,leather straps and side rack
GalakasMidCity_STALL_CobblerBootStand_CSG.tscn,CobblerBootStand,boot display and small bench
GalakasMidCity_STALL_PotteryTableStall_CSG.tscn,PotteryTableStall,pottery table with stacked vessels
GalakasMidCity_STALL_GlassTrinketStall_CSG.tscn,GlassTrinketStall,small cases and fragile display
GalakasMidCity_STALL_LanternOilStall_CSG.tscn,LanternOilStall,lantern posts and oil casks
GalakasMidCity_STALL_WaterCaskStall_CSG.tscn,WaterCaskStall,water barrels and cup counter
GalakasMidCity_STALL_AleKegStall_CSG.tscn,AleKegStall,keg stall with rough drink shelf
GalakasMidCity_STALL_WeaponRackStall_CSG.tscn,WeaponRackStall,weapon rack and narrow counter
GalakasMidCity_STALL_ArmorPatchStall_CSG.tscn,ArmorPatchStall,armor repair stand and heavy table
GalakasMidCity_STALL_BlacksmithToolStall_CSG.tscn,BlacksmithToolStall,tools, tongs, rough metal stock
GalakasMidCity_STALL_LockTrinketStall_CSG.tscn,LockTrinketStall,locks, small boxes, and clutter
GalakasMidCity_STALL_BookScrollStall_CSG.tscn,BookScrollStall,scroll tubes and book table
GalakasMidCity_STALL_MapBrokerStall_CSG.tscn,MapBrokerStall,map rack and travel board
GalakasMidCity_STALL_ContractNoticeStall_CSG.tscn,ContractNoticeStall,notice board and small clerk desk
GalakasMidCity_STALL_GuildRecruitBooth_CSG.tscn,GuildRecruitBooth,guild sign frame and waiting bench
GalakasMidCity_STALL_JewelryTinyStall_CSG.tscn,JewelryTinyStall,tiny guarded jewelry counter
GalakasMidCity_STALL_GoldWeigherBooth_CSG.tscn,GoldWeigherBooth,scale counter and locked chest
GalakasMidCity_STALL_DyerSampleStall_CSG.tscn,DyerSampleStall,dyed cloth sample rail
GalakasMidCity_STALL_DyeVatOpenStall_CSG.tscn,DyeVatOpenStall,open dye vats and work planks
GalakasMidCity_STALL_BasketWeaverStall_CSG.tscn,BasketWeaverStall,wicker basket displays
GalakasMidCity_STALL_WoodcarverStall_CSG.tscn,WoodcarverStall,carved boards and workbench
GalakasMidCity_STALL_AnimalFeedStall_CSG.tscn,AnimalFeedStall,feed sacks and trough
GalakasMidCity_STALL_StableTackStall_CSG.tscn,StableTackStall,tack, straps, and saddle rack
GalakasMidCity_STALL_AlchemistBottleStall_CSG.tscn,AlchemistBottleStall,bottle tiers and counter
GalakasMidCity_STALL_ApothecaryShelfStall_CSG.tscn,ApothecaryShelfStall,small apothecary shelf booth
GalakasMidCity_STALL_DriedMushroomStall_CSG.tscn,DriedMushroomStall,dried mushroom trays and shade
GalakasMidCity_STALL_SandglassToyStall_CSG.tscn,SandglassToyStall,toys and sandglass display
GalakasMidCity_STALL_CarnivalWyrmshotGallery_CSG.tscn,CarnivalWyrmshotGallery,small carnival shooting gallery
GalakasMidCity_STALL_RedMiragePrizeTent_CSG.tscn,RedMiragePrizeTent,prize tent facade
GalakasMidCity_STALL_FortuneTabletStall_CSG.tscn,FortuneTabletStall,tablet reader and tiny canopy
GalakasMidCity_STALL_TaxTokenCounter_CSG.tscn,TaxTokenCounter,token counter near gate tolls
GalakasMidCity_STALL_PawnBrokerStall_CSG.tscn,PawnBrokerStall,pawn counter and locked goods
GalakasMidCity_STALL_RepairBenchStall_CSG.tscn,RepairBenchStall,general repair workbench
GalakasMidCity_STALL_KnifeSharpenerStall_CSG.tscn,KnifeSharpenerStall,sharpening wheel and work table
GalakasMidCity_STALL_CandleChandlerStall_CSG.tscn,CandleChandlerStall,candles and wax blocks
GalakasMidCity_STALL_RopeMakerCoilStall_CSG.tscn,RopeMakerCoilStall,rope coils and stretching pegs
GalakasMidCity_STALL_ImportedRelicStall_CSG.tscn,ImportedRelicStall,locked relic display booth
